,department,dept_code
Faculty 1001,Faculty,1001
Leadership 1002,Leadership,1002
SpEd 1003,SpEd,1003
KTC 1004,KTC,1004
Academics 1005,Academics,1005
Finance 1006,Finance,1006
Development 1007,Development,1007
Executive 1008,Executive Team,1008
Growth 1009,Growth,1009
Technology 1010,Technology,1010
Talent 1011,Talent,1011
Accounting 1012,Accounting,1012
HR 1013,HR,1013
Marketing & Communications 1014,Marketing & Communications,1014
Operations 1015,Operations,1015
People 1016,People,1016
Facilities 1017,Facilities,1017
Instructional Support 1018,Instructional Support,1018
Data & Evaluation 1019,Data & Evaluation,1019
